length_m,load_n,moment_of_inertia_m4,material,deflection_m
1.7739560485559633,486.50352417663964,1.4797047809715734e-06,aluminum,0.009029308652804716
1.4388784397520524,656.8595379104046,1.4610905221884835e-06,aluminum,0.006658529326156078
1.8585979199113825,741.9967231784318,1.7942563098065428e-06,steel,0.004316047398330301
1.6973680290593638,632.4175680310109,1.6526393260912134e-06,aluminum,0.008222069826207577
1.0941773478876495,777.9267341296278,8.3189331799675e-07,composite,0.008800580188844909
1.975622351636756,669.2031024429064,8.593509645752188e-07,steel,0.009461128790344967
1.761139701990353,720.0808629571559,1.5218701429472188e-06,steel,0.003995930137217678
1.7860643052769538,268.4624427101823,1.3834304907467305e-06,composite,0.008895302244858025
1.1281136326755459,639.4481017962726,1.1122215864115897e-06,aluminum,0.004041915772663572
1.4503859378955672,464.05321971642115,1.3023873047777619e-06,composite,0.008205633871743532
1.3707980242325812,531.8622814467651,1.7094923824794325e-06,aluminum,0.0038117057687786283
1.9267649888486018,592.4614456894141,1.7919337815895159e-06,composite,0.01736682555210672
1.6438651200806644,781.8890700233417,1.473467681468053e-06,aluminum,0.011936810164225499
1.82276161327083,790.7468488589748,1.2624433770285235e-06,steel,0.006311915455117445
1.4434141988273312,372.9369472927432,1.1248361137941284e-06,composite,0.007581566423627741
1.2272387217847769,640.2520984627497,1.4263021649231042e-06,aluminum,0.003968981736118903
1.554584787015835,649.9901227611612,1.1776995422772572e-06,steel,0.0033968017310020645
1.0638172561041754,407.8957167878293,1.4769141644566676e-06,aluminum,0.0014932967313055147
1.8276311719925822,274.3218649185326,1.6119828590115651e-06,aluminum,0.004522456171726375
1.631664399122065,224.56817617143184,8.792950531032738e-07,steel,0.0018248939594684972
1.7580877400853738,666.4058765175071,8.012809580272966e-07,composite,0.033571206105498144
1.3545259681298685,493.81984509014353,1.0547325666088916e-06,steel,0.0018145567317106174
1.9706980243949033,791.3241016969557,1.8734137972625371e-06,steel,0.005378738296971083
1.8931211213221977,478.9840737161918,1.575548915874271e-06,aluminum,0.009991247001542563
1.778383497073762,786.7501874443042,1.0063524223244274e-06,composite,0.029059709804104567
1.1946387078519676,446.94560131643595,1.8683167541883424e-06,composite,0.0028829656608854778
1.4667210037270342,676.2092903359835,1.3639471283448079e-06,composite,0.011823529720956738
1.0438037657872288,250.89156338709924,1.3713101080143927e-06,steel,0.0003534925672702011
1.154289492067548,533.2770260826583,1.922650332611186e-06,composite,0.002977554417031575
1.6830489532424546,681.2358721914345,8.71384030620008e-07,composite,0.02782732665077957
1.744762155907817,754.8210003319332,1.0582139295544622e-06,aluminum,0.019238061211045564
1.96750973243421,693.549854370459,1.5029255901856668e-06,aluminum,0.017639038058634142
1.325825358138152,222.18243632070454,1.0345838114984048e-06,steel,0.0008301904059276568
1.3704597060348689,423.6214047840405,1.6154324110507493e-06,composite,0.00488282765042191
1.469555811275808,229.21908338831076,1.0569107472040641e-06,composite,0.004938002035221527
1.1894713590842856,265.5693746687348,9.189883647185772e-07,aluminum,0.002404369383535855
1.1299215053354716,605.1833772004904,1.0483821915690076e-06,aluminum,0.004062168472468754
1.4757049262259336,627.954917787019,1.3072808411264747e-06,aluminum,0.007692092368661538
1.2269093490508842,664.2324096509758,1.0113659590076958e-06,steel,0.002034942354888346
1.6698139946825103,719.2739288333977,9.616304299080168e-07,aluminum,0.017512373483107604
1.4371519188723307,643.6588810859059,1.832338263462729e-06,composite,0.007760212119206226
1.8326781960578375,680.5229552639792,1.1844766443167694e-06,composite,0.02722417181475345
1.7002651020022492,229.37822589396754,1.2329104238219043e-06,composite,0.007068811390830696
1.3123666413820412,340.72109026477915,8.663244914014732e-07,aluminum,0.004121757699205559
1.832259801395201,573.1386640251475,1.228843548202465e-06,composite,0.0193302521183738
1.804764357496802,714.8751827748939,1.1177686127858956e-06,aluminum,0.019563907578322142
1.3874783790301746,202.7000749637955,1.532582080810146e-06,aluminum,0.0017285275625987017
1.288328103930244,508.7776052698099,1.046468357206888e-06,aluminum,0.004591854964452307
1.6824955039749754,606.3724396186383,1.8660385436754086e-06,composite,0.011055109379281204
1.1397524836093098,217.76437347716794,1.915599945103466e-06,composite,0.0012948682358141811
1.1999082024751084,440.81333453203274,9.197972686121482e-07,steel,0.001360628162761241
1.0073622697510056,737.3809288302181,9.288835475462927e-07,steel,0.0013178692607142702
1.7869243775021384,602.9676853135152,9.383917257331855e-07,aluminum,0.018952203771414926
1.6648508565920321,342.5950180163584,1.5434831075723744e-06,aluminum,0.00468895652231656
1.7051653786263352,711.6686777791476,9.463627570515474e-07,composite,0.026515447582840627
1.780729031021968,408.8188540457086,1.8228587815163196e-06,aluminum,0.006182543407829179
1.45891577553834,712.0068026864357,1.7051258179254709e-06,aluminum,0.006386235775342192
1.5687411959528936,379.3661906713433,1.783770629885629e-06,composite,0.006232842262054667
1.1397969981276574,554.1921505298894,1.431272632263225e-06,aluminum,0.0028960091814534757
1.1145300735359736,438.16404064870045,1.996012653822984e-06,aluminum,0.0014827546187379597
1.6684029617904717,364.89503045304025,8.530101235329935e-07,aluminum,0.00983207491837917
1.4710962061431325,731.9345373031215,1.281517957023336e-06,aluminum,0.008670316965684733
1.5652361064811888,312.5562091636948,1.1887240027251633e-06,composite,0.007492249815701547
1.7649988574160256,250.88695474145786,1.938374598455169e-06,composite,0.005299912594783455
1.6347183200005908,405.1561631273962,1.4922331501971114e-06,aluminum,0.005791486762123441
1.5535794006579957,630.5834885849406,1.7674291585336703e-06,aluminum,0.006712591220240868
1.5592071607454137,684.458963585769,1.0044094323902226e-06,aluminum,0.012825323038531742
1.3039500980626122,799.2460220400588,1.9743609726805266e-06,steel,0.0014991486207341976
1.0308178345679395,377.8172342066989,1.3983674562515782e-06,aluminum,0.0013718310896927539
1.4367173892323624,444.7651706787693,1.392406491524775e-06,steel,0.001584143456819326
1.2145846728195293,282.0927668177758,1.9650616742548855e-06,steel,0.00042809393858814134
1.4085286437246363,544.9231577738201,1.256878833460574e-06,steel,0.0020387426397343086
1.8534030732681661,798.5480223577504,1.2770300294659916e-06,aluminum,0.021354520938438464
1.2339394858653407,620.5286060723952,1.501703243365924e-06,steel,0.0012600357300914615
1.058302741689066,557.1277042480231,9.536631326573443e-07,aluminum,0.003415809185645861
1.2813838920219967,435.42145575307643,1.185302751694226e-06,aluminum,0.003933243260134933
1.2935937577666836,749.1792561713329,1.0318499869341565e-06,aluminum,0.007629840453434889
1.661916514726895,498.14995767820966,9.239401749284595e-07,composite,0.020474880132396966
1.5570321523412782,280.6201479878369,1.839373527597224e-06,aluminum,0.0027295039073810907
1.7838982091064135,419.22707791948005,1.507197399352971e-06,composite,0.011886027399445526
1.6643135403273877,240.30000130866014,1.2304073498334933e-06,composite,0.006402871308947161
1.4063868614400705,321.18742261326895,1.2904032528400554e-06,steel,0.0011336920242148222
1.8140203846660348,210.60126859994733,1.3178228044248256e-06,steel,0.0016097238189831328
1.166972919907704,471.96794990009806,1.5597790185736512e-06,aluminum,0.002421366308278503
1.0227120731338606,580.7241589710783,1.912123269786792e-06,composite,0.0024448642414361885
1.0900478607756416,405.9754774273447,1.919335543588379e-06,steel,0.00048534384703282594
1.7223593505964503,452.22906290316627,1.269790375436796e-06,steel,0.003018418350306937
1.4618772302513874,775.5255637067455,1.1951149515173234e-06,composite,0.014767665872784962
1.1612717790336018,651.1778729449493,1.3412558002223059e-06,composite,0.006393342442742374
1.5010447751033635,524.5139821669707,1.4815210765141909e-06,steel,0.00203496248197468
1.1523121027131684,370.72452506709516,1.354181493739698e-06,aluminum,0.001950757025828673
1.696320375077736,738.1980792637971,1.590504091780041e-06,aluminum,0.010564471677398296
1.4461562755740307,341.0582701283957,1.4652788280557162e-06,steel,0.001117981385164889
1.3810212260964825,395.20563831000624,1.1848586560328914e-06,steel,0.0015327873989126738
1.3015120891478764,745.4388886537691,1.214876966915159e-06,aluminum,0.006416064248423261
1.6302825931188885,517.7252331710434,1.2543113450716772e-06,aluminum,0.008694991930850642
1.3618126105533905,645.3907696507861,9.135677218992664e-07,steel,0.0029641592987737124
1.0876499193161009,554.4468764982596,9.992751588967678e-07,aluminum,0.0035749705754330027
1.1180059021205153,592.0635254056971,1.6677365625744632e-06,steel,0.000791834665653794
1.9618976645495145,379.62997490889535,1.266916053826496e-06,composite,0.015859909263523025
1.908580690707607,344.82323697599776,1.0574467670721725e-06,steel,0.0038208657864428753
1.6997071338107497,393.4954083011992,1.4752068926898286e-06,steel,0.0022486156312882576
1.2658699614595195,293.2649384500535,1.7066474509681128e-06,steel,0.0005906005341702458
1.9691763773477238,724.5886191744844,1.1089068348144456e-06,composite,0.03546286943752365
1.7787509039657947,369.94815995006843,1.7921478583084933e-06,composite,0.008897057193240125
1.7168901891589956,536.8936366486307,1.9130058315500596e-06,aluminum,0.006606453648995445
1.4493615021437887,675.1846550848245,1.516873434888609e-06,steel,0.0021997675146370236
1.272241561845159,670.2944656254281,1.6027371907898954e-06,composite,0.006078285502104348
1.0963909621534993,463.0317551505157,8.630911883876664e-07,aluminum,0.003637921419905119
1.9026023965438417,485.7543851520354,1.9346238692262876e-06,composite,0.013215140756845089
1.455776289833611,796.8210493610148,1.2709816811179325e-06,aluminum,0.009626702939170386
1.2023633647952303,604.7584861874145,1.908680480654516e-06,composite,0.0043340520197810055
1.3059566241506526,688.7830658707296,1.494773029700291e-06,composite,0.008671723556683785
1.579219568941896,741.5323815315392,8.055425586119931e-07,steel,0.005526116247986685
1.1767727829392318,672.5539017376035,8.462503991881229e-07,composite,0.009239217252416148
1.8566142840923754,311.10760697214056,1.6165025668039062e-06,steel,0.0019895622240259227
1.75851952983521,537.3024402425433,1.4752016165983197e-06,aluminum,0.009161337231438476
1.7194629559509367,261.13649438872693,8.318389246472892e-07,steel,0.0025165302761418497
1.4320930397751037,591.753275938399,1.6921519534668623e-06,composite,0.007494197315356488
1.6273088407024432,773.2096569126866,1.822574404483018e-06,steel,0.0028616388893788047
1.5840979689127357,507.6392385800668,1.3957009789271699e-06,aluminum,0.007101558235372286
1.6498466015548199,459.7834957206603,1.3589089284287058e-06,aluminum,0.007359436226282034
1.084444321139889,221.5056508508979,8.065677306015529e-07,composite,0.0026567686943240677
1.4158074021706097,775.8647133975322,1.743979654992319e-06,composite,0.009589830167789528
1.0416141738618925,261.80161047809526,1.1968592800953264e-06,steel,0.0004244233081309424
1.493990819244519,224.64745598290816,1.8545163437390473e-06,composite,0.0029362682919358823
1.3298612123327853,347.6399669029631,1.2476727050696637e-06,steel,0.0012080205117421556
1.144524188866047,239.31826035102944,1.4780934927568466e-06,aluminum,0.0011864228896705494
1.1034029677225516,473.0707054470574,1.1244101458391929e-06,aluminum,0.002476174189208313
1.587644572177712,509.65268075426746,9.927059751019023e-07,aluminum,0.00942784596978792
1.170592968536886,387.54196941715037,1.7298894840575935e-06,composite,0.002430206411977649
1.9251201183767972,230.57628954493163,1.3959085746155378e-06,composite,0.008737227704622206
1.5810611397003949,266.96022094953605,1.443785508502701e-06,aluminum,0.003508863457537051
1.346869804534837,430.7026267939568,1.9584991441780826e-06,composite,0.00388690986787599
1.5909154914814168,236.31707049592168,1.9562958946665844e-06,steel,0.0008921932905754307
1.0228038710296974,618.913835365948,1.8267705460428841e-06,steel,0.0006207723487527477
1.9585592132414453,324.2123249148872,1.0251311513180403e-06,aluminum,0.011895355391817537
1.4823034369429002,381.2429412701831,1.513127233161896e-06,aluminum,0.0037797546884303975
1.7827352272502863,436.4754663068585,1.8537769095866448e-06,composite,0.009387982910445562
1.0827299999224387,449.9657798414887,1.2493567237387253e-06,composite,0.003392487508665223
1.4866583308381602,200.99642460488033,9.21327399122702e-07,steel,0.0012050283049023097
1.4907069943545208,267.2422225992185,1.773155482687906e-06,steel,0.0007548826724773457
1.9378264549749828,717.6587382445268,1.378116261634606e-06,composite,0.027816976264718903
1.5717280523760753,200.73983750714487,1.4772712164310142e-06,aluminum,0.002550590069582564
1.4734894010569537,504.9004134877251,1.978573155581413e-06,steel,0.001346003524171169
1.2669756630918936,493.70120390432487,1.5286537165928863e-06,composite,0.004667607858392224
1.3315689973425522,399.85649660638273,1.3099752627993217e-06,aluminum,0.0033875440798283663
1.5206724024715377,458.7962120878698,1.2439812414166372e-06,composite,0.009521857699568974
1.4389114603050466,668.3486825159506,1.3011431511848548e-06,composite,0.011387114763116865
1.0216120798803305,704.7222237289739,9.420788998144024e-07,composite,0.006086858571272077
1.8262919241943578,356.20912604915003,1.7537006701010861e-06,aluminum,0.006300109165070277
1.8961607718397668,393.4942645806379,1.8052602298244493e-06,composite,0.010845538378194904
1.1402490889986108,345.4897118169996,1.1412765614880906e-06,composite,0.0032485506443897176
1.5540361435390495,487.9180403306391,1.1645559420919328e-06,steel,0.002678056272538637
1.1085757411354435,609.9550145952878,1.8492011076017757e-06,steel,0.0007718347413624382
1.6722400930398118,336.9517252780523,8.287644266335465e-07,steel,0.0030999081959803185
1.2812337838390082,398.44144523292,1.4245489325206732e-06,aluminum,0.0029541643161472473
1.6594226346919019,758.2307705534903,1.3564108576178012e-06,aluminum,0.012944275133595619
1.7269946142868826,229.14157390817485,1.6281521234941516e-06,steel,0.0012862064338052186
1.768647491917657,476.46176314373974,9.960700401793453e-07,aluminum,0.013921501400063707
1.1077409459558964,626.9348249580667,1.6019968889541845e-06,steel,0.0008481846950204152
1.916011845137608,290.2724069344844,1.2520808094498516e-06,aluminum,0.007883141268528434
1.2302139908948808,228.42441200328912,1.5424577338035704e-06,aluminum,0.0013327408401933645
1.0374125561761798,282.9232229831184,8.481140118473311e-07,aluminum,0.0017904559233067857
1.5548524693914834,751.2939161184097,1.3540726366214113e-06,aluminum,0.009748384362755092
1.3709222838624386,205.55586909267404,1.4267010727788465e-06,aluminum,0.0016601433629339403
1.8297897431324133,312.9931848868111,1.057191683425984e-06,composite,0.013497669853491873
1.8082514720643017,218.77010774098673,9.675483850149448e-07,composite,0.00952235624262286
1.3171388928227152,266.37768053732196,1.0261691636147615e-06,composite,0.004412687251630879
1.9528993950697449,572.0895719769778,1.2129692936760176e-06,aluminum,0.016296315953644693
1.2909178381401185,344.9833452434515,9.161721791659657e-07,aluminum,0.003698163851458205
1.5150571292317145,541.527230258406,1.9367837548755254e-06,steel,0.0016395818326702175
1.2559650905676027,554.1172296596757,1.2859928737949806e-06,aluminum,0.0041551850343958035
1.9360435700489633,709.6611998538674,1.7707635230080987e-06,steel,0.004987522248740919
1.1646078175820183,202.84483574712436,1.969300547730616e-06,aluminum,0.0008719007627253512
1.044910619392329,712.02167560542,8.968823360032868e-07,steel,0.0015304665043129628
1.435097060003038,571.4714518561843,1.5820033615219928e-06,aluminum,0.00528285052490695
1.9923755640558372,297.6460916629745,1.8456909040894566e-06,composite,0.008938572649550976
1.891677266254914,663.7624328811704,1.5610813207600738e-06,composite,0.019948492287219143
1.7486080194569493,713.2949250743515,1.314831345628895e-06,aluminum,0.01512113950575141
1.8907924908785247,352.55809025249437,1.317291629165526e-06,steel,0.0028760621768246257
1.893446639697863,751.2762085416085,8.430786632088307e-07,steel,0.009555589498344438
1.518858360386449,472.6744581791947,1.4415209015471303e-06,steel,0.0019111374183631018
1.3159290518307931,562.054672599993,1.992251596144217e-06,composite,0.004740619546494727
1.772012432110988,790.7897201705862,1.9504490311663205e-06,composite,0.01595656145751046
1.661661263167761,416.9216471835196,8.484790746105958e-07,aluminum,0.010724993320317847
1.37365772887371,687.8956074920677,1.6469564043553857e-06,steel,0.0019152788474688558
1.0944666680615152,391.0394706970758,1.162117840036317e-06,steel,0.0007056062780559345
1.746789611349026,679.5281133448946,1.8835869840873639e-06,composite,0.013250749581961922
1.2624605159228648,560.4403513175855,8.541376948511342e-07,steel,0.0023041149417335027
1.9368131505337791,329.81341713524085,1.9230489224132965e-06,steel,0.002127896771526069
1.2409705750056848,448.4156562735418,1.8049708925453323e-06,steel,0.0007667537718125771
1.122757932411486,390.581380618137,9.410052587031218e-07,steel,0.0009016441440054563
1.831112672124906,246.86503584821833,8.71789204780759e-07,aluminum,0.008086209304205583
